AV PID,Street Name,Street Number,Map,Lot,Land Area in Acres,Fiscal Year, Total Assessed Land Value , Total Appraised Improvements , Total Appraised Parcel Value ,Sale Date,Book/Page,Q U,Val Code,I V, Price ,Owner Occupied,Use Code,Use Descript, Effective Area , Gross Area , Living Area ,Year Built,,Style,Stories,Occupancy,Roof,Exterior Wall,Heat,Fuel,A/C,Room Count,Bedrooms,Baths,Half Baths,Grade
4776,BROADWAY,903,67,96,0.11478421,2018," $28,400 "," $9,200 "," $37,600 ",7/16/2014, 52334/  65,U,1A,V," $375,000 ",,3370,PARK LOT  ,,,,,,,,,,,,,,,,,,
4775,BROADWAY,909,67,95,0.05596878,2018," $127,800 "," $319,300 "," $447,100 ",3/5/2014,C828973,U,1B,I, $1 ,,1050,THREE FAM," 3,252 "," 4,414 "," 2,962 ",1900,3F,3 Family,3,3,Flat,Brick Veneer,Hot Water,Gas,None,18 Rooms,9,3,0,Average
4774,BROADWAY,911,67,94,0.0573921,2018," $129,100 "," $399,400 "," $528,500 ",4/20/2017, 57829/ 251,U,1S,I," $567,000 ",,1050,THREE FAM," 3,906 "," 4,980 "," 3,645 ",1900,3F,3 Family,3,3,Flat,Asbest Shingle,Hot Water,Gas,None,17 Rooms,9,3,0,Average
4773,BROADWAY,913,67,93,0.11478421,2018," $176,800 "," $326,800 "," $503,600 ",11/25/1998, 23154/ 140,U,1A,I, $1 ,,1050,THREE FAM," 4,324 "," 5,508 "," 4,028 ",1900,3F,3 Family,3,3,Flat,Vinyl Siding,Hot Water,Gas,None,,9,3,0,Average
4732,BROADWAY,914,67,65,0.11478421,2018," $176,800 "," $217,300 "," $394,100 ",12/28/2016, 57342/ 228,U,1A,I, $1 ,Y,1050,THREE FAM," 2,847 "," 4,657 "," 2,600 ",1900,3F,3 Family,2,3,Gable/Hip,Vinyl Siding,Steam,Gas,None,12 Rooms,6,4,0,Average
4771,BROADWAY,915,67,91,0.09871442,2018," $163,800 "," $171,800 "," $335,600 ",5/22/2003, 31516/ 268,Q,0,I," $292,000 ",Y,1040,TWO FAMILY  ," 2,142 "," 2,920 "," 1,908 ",1900,2F,2 Family,2,2,Flat,Pre-Fab Wood,Hot Water,Gas,None,10 Rooms,5,3,0,Average
4770,BROADWAY,919,67,90,0.0573921,2018," $129,100 "," $318,900 "," $448,000 ",8/9/2010, 46755/ 279,Q,0,I," $257,000 ",Y,1050,THREE FAM," 2,642 "," 4,009 "," 2,386 ",1900,3F,3 Family,2.5,3,Gable/Hip,Vinyl Siding,Hot Water,Gas,None,12 Rooms,6,3,0,Average
4769,BROADWAY,921,67,89,0.06887052,2018," $139,700 "," $350,700 "," $490,400 ",2/10/1994, 18863/ 011,U,,, $-   ,Y,1050,THREE FAM," 3,748 "," 4,676 "," 3,516 ",1900,3F,3 Family,3,3,Mansard,Vinyl Siding,Hot Water,Oil,None,,7,3,1,Average
4733,BROADWAY,924,67,67,0.11478421,2018," $176,800 "," $218,600 "," $395,400 ",2/28/2011, 47646/ 019,Q,0,I," $263,000 ",,1040,TWO FAMILY  ," 3,305 "," 5,472 "," 2,945 ",1900,2F,2 Family,2,2,Gable/Hip,Vinyl Siding,Forced Air-Duc,Gas,None,,5,2,0,Average
4768,BROADWAY,927,67,87,0.0573921,2018," $129,100 "," $171,600 "," $300,700 ",12/9/2002, 30031/ 173,Q,0,I," $325,000 ",Y,1040,TWO FAMILY  ," 1,710 "," 2,468 "," 1,429 ",1900,2F,2 Family,2,2,Gable/Hip,Vinyl Siding,Hot Water,Oil,None,,6,3,0,Average
4767,BROADWAY,929,67,86,0.0573921,2018," $129,100 "," $99,600 "," $228,700 ",7/24/2017, 58267/ 257,Q,0,I," $340,000 ",,1010,Single Fam," 1,381 "," 2,214 "," 1,212 ",1900,6,Conventional,1.5,1,Gable/Hip,Wood Shingle,Hot Water,Oil,None,,4,1,0,Average
4766,BROADWAY,931,67,85,0.05808081,2018," $129,700 "," $280,500 "," $410,200 ",4/30/1999, 23708/ 344,U,,I," $160,000 ",,1050,THREE FAM," 3,217 "," 3,972 "," 3,028 ",1900,3F,3 Family,3,3,Flat,Vinyl Siding,Hot Water,Gas,None,,6,3,0,Average
4765,BROADWAY,933,67,84,0.0567034,2018," $128,500 "," $230,300 "," $358,800 ",11/19/2008, 44253/ 292,Q,0,I," $302,000 ",Y,1040,TWO FAMILY  ," 2,433 "," 4,246 "," 2,178 ",1900,2F,2 Family,2,2,Gable/Hip,Vinyl Siding,Hot Water,Gas,None,,5,2,1,Average
4764,BROADWAY,941,67,82,0.11478421,2018," $176,800 "," $222,100 "," $398,900 ",3/31/2004, 34124/ 301,Q,0,I," $430,000 ",Y,1040,TWO FAMILY  ," 2,556 "," 3,800 "," 2,230 ",1900,2F,2 Family,2,2,Gable/Hip,Aluminum Sidng,Hot Water,Gas,None,,6,2,0,Average
4763,BROADWAY,943,67,81,0.06129477,2018," $132,700 "," $116,800 "," $249,500 ",7/25/2016, 56481/ 311,U,1L,I," $237,834 ",,1010,Single Fam," 1,752 "," 2,466 "," 1,574 ",1900,6,Conventional,2,1,Gable/Hip,Asbest Shingle,Hot Water,Oil,None,,3,1,0,Average
4762,BROADWAY,945,67,80,0.05348944,2018," $125,500 "," $255,900 "," $381,400 ",4/12/2011, 47800/  54,Q,0,I," $290,000 ",Y,1050,THREE FAM," 2,814 "," 3,593 "," 2,483 ",1900,3F,3 Family,3,3,Flat,Vinyl Siding,Hot Water,Gas,None,,6,3,0,Average
4761,BROADWAY,947,67,79,0.11478421,2018," $176,800 "," $282,400 "," $459,200 ",3/19/2015, 54194/ 173,U,1A,I, $1 ,,1050,THREE FAM," 3,173 "," 3,984 "," 2,970 ",1900,3F,3 Family,3,3,Flat,Vinyl Siding,Hot Water,Gas,None,,9,3,0,Average
4734,BROADWAY,948,67,    75A,0,2018, $-   ," $256,600 "," $256,600 ",2/26/1999, 23483/ 287,Q,0,I," $95,000 ",Y,1021,Condo  ," 1,128 "," 1,578 "," 1,008 ",1987,CT,Condo-Twnhse,2,1,Gable/Hip,Vinyl Siding,Forced Air-Duc,Gas,Central,4 Rooms,2,1,1,Average +10
4735,BROADWAY,948,67,    75B,0,2018, $-   ," $256,600 "," $256,600 ",4/13/2016, 55974/ 336,Q,0,I," $275,500 ",Y,1021,Condo  ," 1,128 "," 1,578 "," 1,008 ",1987,CT,Condo-Twnhse,2,1,Gable/Hip,Vinyl Siding,Forced Air-Duc,Gas,Central,4 Rooms,2,1,1,Average +10
4736,BROADWAY,948,67,    75C,0,2018, $-   ," $256,600 "," $256,600 ",, 17411/ 314,U,,, $-   ,Y,1021,Condo  ," 1,128 "," 1,578 "," 1,008 ",1987,CT,Condo-Twnhse,2,1,Gable/Hip,Vinyl Siding,Forced Air-Duc,Gas,Central,4 Rooms,2,1,1,Average +10
4737,BROADWAY,948,67,    75D,0,2018, $-   ," $256,600 "," $256,600 ",6/29/2007, 42075/ 049,Q,0,I," $239,000 ",Y,1021,Condo  ," 1,128 "," 1,578 "," 1,008 ",1987,CT,Condo-Twnhse,2,1,Gable/Hip,Vinyl Siding,Forced Air-Duc,Gas,Central,4 Rooms,2,1,1,Average +10
4738,BROADWAY,948,67,    75E,0,2018, $-   ," $257,800 "," $257,800 ",, 16780/ 219,U,,, $-   ,Y,1021,Condo  ," 1,128 "," 1,578 "," 1,008 ",1987,CT,Condo-Twnhse,2,1,Gable/Hip,Vinyl Siding,Forced Air-Duc,Gas,Central,4 Rooms,2,1,1,Average +10
4739,BROADWAY,948,67,    75F,0,2018, $-   ," $256,600 "," $256,600 ",8/5/2016, 56560/ 152,Q,0,I," $278,000 ",,1021,Condo  ," 1,128 "," 1,578 "," 1,008 ",1987,CT,Condo-Twnhse,2,1,Gable/Hip,Vinyl Siding,Forced Air-Duc,Gas,Central,4 Rooms,2,1,1,Average +10
4740,BROADWAY,948,67,    75G,0,2018, $-   ," $256,600 "," $256,600 ",12/14/2015, 55454/  27,Q,0,I," $256,000 ",,1021,Condo  ," 1,128 "," 1,578 "," 1,008 ",1987,CT,Condo-Twnhse,2,1,Gable/Hip,Vinyl Siding,Forced Air-Duc,Gas,Central,4 Rooms,2,1,1,Average +10
4741,BROADWAY,948,67,    75H,0,2018, $-   ," $256,600 "," $256,600 ",11/26/2001, 27453/ 161,Q,0,I," $180,000 ",Y,1021,Condo  ," 1,128 "," 1,578 "," 1,008 ",1987,CT,Condo-Twnhse,2,1,Gable/Hip,Vinyl Siding,Forced Air-Duc,Gas,Central,4 Rooms,2,1,1,Average +10
4742,BROADWAY,948,67,    75I,0,2018, $-   ," $256,600 "," $256,600 ",8/2/2000, 25203/ 128,Q,0,I," $114,500 ",Y,1021,Condo  ," 1,128 "," 1,578 "," 1,008 ",1987,CT,Condo-Twnhse,2,1,Gable/Hip,Vinyl Siding,Forced Air-Duc,Gas,Central,4 Rooms,2,1,1,Average +10
4743,BROADWAY,948,67,    75J,0,2018, $-   ," $259,100 "," $259,100 ",5/8/2008, 43504/ 152,U,1A,I, $1 ,Y,1021,Condo  ," 1,128 "," 1,578 "," 1,008 ",1987,CT,Condo-Twnhse,2,1,Gable/Hip,Vinyl Siding,Forced Air-Duc,Gas,Central,4 Rooms,2,1,1,Average +10
4744,BROADWAY,948,67,    75K,0,2018, $-   ," $256,600 "," $256,600 ",12/18/1987, 14343/ 162,U,,, $-   ,,1021,Condo  ," 1,128 "," 1,578 "," 1,008 ",1987,CT,Condo-Twnhse,2,1,Gable/Hip,Vinyl Siding,Forced Air-Duc,Gas,Central,4 Rooms,2,1,1,Average +10
4745,BROADWAY,948,67,    75L,0,2018, $-   ," $251,500 "," $251,500 ",3/8/2013, 51101/ 003,Q,0,I," $179,000 ",,1021,Condo  ," 1,128 "," 1,578 "," 1,008 ",1987,CT,Condo-Twnhse,2,1,Gable/Hip,Vinyl Siding,Electr Basebrd,Electric,Central,4 Rooms,2,1,1,Average +10
4746,BROADWAY,948,67,    75M,0,2018, $-   ," $256,600 "," $256,600 ",6/7/2013, 51576/ 304,Q,0,I," $193,000 ",,1021,Condo  ," 1,128 "," 1,578 "," 1,008 ",1987,CT,Condo-Twnhse,2,1,Gable/Hip,Vinyl Siding,Forced Air-Duc,Gas,Central,4 Rooms,2,1,1,Average +10
4747,BROADWAY,948,67,    75N,0,2018, $-   ," $271,800 "," $271,800 ",9/30/2005, 38165/ 301,Q,0,I," $250,000 ",,1021,Condo  ," 1,128 "," 1,578 "," 1,008 ",1987,CT,Condo-Twnhse,2,1,Gable/Hip,Vinyl Siding,Forced Air-Duc,Gas,Central,4 Rooms,2,2,1,Average +10
4748,BROADWAY,948,67,    75O,0,2018, $-   ," $256,600 "," $256,600 ",2/1/2012, 49027/ 157,U,1A,I, $1 ,Y,1021,Condo  ," 1,128 "," 1,578 "," 1,008 ",1987,CT,Condo-Twnhse,2,1,Gable/Hip,Vinyl Siding,Forced Air-Duc,Gas,Central,4 Rooms,2,1,1,Average +10
4749,BROADWAY,948,67,    75P,0,2018, $-   ," $256,600 "," $256,600 ",9/24/2013, 52153/ 177,Q,0,I," $205,000 ",,1021,Condo  ," 1,128 "," 1,578 "," 1,008 ",1987,CT,Condo-Twnhse,2,1,Gable/Hip,Vinyl Siding,Forced Air-Duc,Gas,Central,4 Rooms,2,1,1,Average +10
4750,BROADWAY,948,67,    75Q,0,2018, $-   ," $259,100 "," $259,100 ",11/20/1987, 14265/ 076,U,,, $-   ,Y,1021,Condo  ," 1,128 "," 1,578 "," 1,008 ",1987,CT,Condo-Twnhse,2,1,Gable/Hip,Vinyl Siding,Forced Air-Duc,Gas,Central,4 Rooms,2,1,1,Average +10
4751,BROADWAY,948,67,    75R,0,2018, $-   ," $256,600 "," $256,600 ",8/31/2015, 54994/ 335,Q,0,I," $220,000 ",Y,1021,Condo  ," 1,128 "," 1,578 "," 1,008 ",1987,CT,Condo-Twnhse,2,1,Gable/Hip,Vinyl Siding,Forced Air-Duc,Gas,Central,4 Rooms,2,1,1,Average +10
4752,BROADWAY,948,67,    75S,0,2018, $-   ," $256,600 "," $256,600 ",7/2/2004, 34948/ 272,Q,0,I," $227,500 ",,1021,Condo  ," 1,128 "," 1,578 "," 1,008 ",1987,CT,Condo-Twnhse,2,1,Gable/Hip,Vinyl Siding,Forced Air-Duc,Gas,Central,4 Rooms,2,1,1,Average +10
4753,BROADWAY,948,67,    75T,0,2018, $-   ," $324,200 "," $324,200 ",12/22/2016, 57320/ 233,Q,0,I," $302,000 ",,1021,Condo  ," 1,128 "," 1,578 "," 1,008 ",1987,CT,Condo-Twnhse,2,1,Gable/Hip,Vinyl Siding,Forced Air-Duc,Gas,Central,4 Rooms,2,1,1,Average +10
4754,BROADWAY,948,67,    75U,0,2018, $-   ," $256,600 "," $256,600 ",7/3/2009, 45187/ 339,U,1S,I," $150,000 ",Y,1021,Condo  ," 1,128 "," 1,578 "," 1,008 ",1987,CT,Condo-Twnhse,2,1,Gable/Hip,Vinyl Siding,Forced Air-Duc,Gas,Central,4 Rooms,2,1,1,Average +10
4755,BROADWAY,948,67,    75V,0,2018, $-   ," $256,600 "," $256,600 ",12/2/1997, 21956/ 062,Q,0,I," $75,000 ",,1021,Condo  ," 1,128 "," 1,578 "," 1,008 ",1987,CT,Condo-Twnhse,2,1,Gable/Hip,Vinyl Siding,Forced Air-Duc,Gas,Central,4 Rooms,2,1,1,Average +10
4756,BROADWAY,948,67,    75W,0,2018, $-   ," $256,600 "," $256,600 ",6/2/2014, 53038/ 178,U,1A,I, $100 ,Y,1021,Condo  ," 1,128 "," 1,578 "," 1,008 ",1987,CT,Condo-Twnhse,2,1,Gable/Hip,Vinyl Siding,Forced Air-Duc,Gas,Central,4 Rooms,2,1,1,Average +10
4757,BROADWAY,948,67,    75X,0,2018, $-   ," $251,500 "," $251,500 ",12/11/2002, 30059/ 162,Q,0,I," $205,000 ",,1021,Condo  ," 1,128 "," 1,578 "," 1,008 ",1987,CT,Condo-Twnhse,2,1,Gable/Hip,Vinyl Siding,Electr Basebrd,Electric,Central,4 Rooms,2,1,1,Average +10
103995,BROADWAY,950,75,  32U04,0,2018, $-   ," $337,600 "," $337,600 ",11/10/2008, 44227/ 186,Q,0,I," $275,000 ",Y,1021,Condo  ," 1,149 "," 1,149 "," 1,149 ",2008,CA,Condo-Apt,1,1,Flat,Concr/Cinder,Forced Air-Duc,Gas,Heat Pump,,1,1,0,Average +10
104014,BROADWAY,950,75,  32U19,0,2018, $-   ," $323,200 "," $323,200 ",11/18/2016, 57130/ 342,Q,0,I," $360,000 ",Y,1021,Condo  , 974 , 974 , 974 ,2008,CA,Condo-Apt,1,1,Flat,Concr/Cinder,Forced Air-Duc,Gas,Heat Pump,,1,1,0,Average +10
104015,BROADWAY,950,75,  32U18,0,2018, $-   ," $420,800 "," $420,800 ",5/24/2013, 51495/ 046,Q,0,I," $302,000 ",Y,1021,Condo  ," 1,640 "," 1,640 "," 1,640 ",2008,CA,Condo-Apt,1,1,Flat,Concr/Cinder,Forced Air-Duc,Gas,Heat Pump,,1,1,0,Average +10
104016,BROADWAY,950,75,  32U17,0,2018, $-   ," $377,900 "," $377,900 ",4/4/2013,   615/ 044,Q,0,I," $280,000 ",,1021,Condo  ," 1,385 "," 1,385 "," 1,385 ",2008,CA,Condo-Apt,1,1,Flat,Concr/Cinder,Forced Air-Duc,Gas,Heat Pump,,1,1,0,Average +10
104017,BROADWAY,950,75,  32U16,0,2018, $-   ," $310,600 "," $310,600 ",12/29/2016,57357,Q,0,I," $325,000 ",,1021,Condo  , 989 , 989 , 989 ,2008,CA,Condo-Apt,1,1,Flat,Concr/Cinder,Forced Air-Duc,Gas,Heat Pump,,1,1,0,Average +10
104018,BROADWAY,950,75,  32U15,0,2018, $-   ," $369,500 "," $369,500 ",2/26/2015, 54100/ 318,Q,0,I," $300,000 ",Y,1021,Condo  ," 1,334 "," 1,334 "," 1,334 ",2008,CA,Condo-Apt,1,1,Flat,Concr/Cinder,Forced Air-Duc,Gas,Heat Pump,,1,1,0,Average +10
104019,BROADWAY,950,75,  32U14,0,2018, $-   ," $306,800 "," $306,800 ",8/6/2010, 46747/ 325,Q,0,I," $209,000 ",,1021,Condo  , 969 , 969 , 969 ,2008,CA,Condo-Apt,1,1,Flat,Concr/Cinder,Forced Air-Duc,Gas,Heat Pump,,1,1,0,Average +10
104020,BROADWAY,950,75,  32U13,0,2018, $-   ," $350,000 "," $350,000 ",10/21/2013, 52260/ 147,Q,0,I," $245,000 ",,1021,Condo  ," 1,225 "," 1,225 "," 1,225 ",2008,CA,Condo-Apt,1,1,Flat,Concr/Cinder,Forced Air-Duc,Gas,Heat Pump,,1,1,0,Average +10
104021,BROADWAY,950,75,  32U12,0,2018, $-   ," $365,200 "," $365,200 ",8/28/2015, 54984/  20,Q,0,I," $316,750 ",Y,1021,Condo  ," 1,309 "," 1,309 "," 1,309 ",2008,CA,Condo-Apt,1,1,Flat,Concr/Cinder,Forced Air-Duc,Gas,Heat Pump,,1,1,0,Average +10
104022,BROADWAY,950,75,  32U11,0,2018, $-   ," $411,100 "," $411,100 ",12/8/2009, 45821/ 049,Q,0,I," $288,000 ",Y,1021,Condo  ," 1,584 "," 1,584 "," 1,584 ",2008,CA,Condo-Apt,1,1,Flat,Concr/Cinder,Forced Air-Duc,Gas,Heat Pump,,1,1,0,Average +10
104023,BROADWAY,950,75,  32U10,0,2018, $-   ," $355,900 "," $355,900 ",3/2/2010,   615/ 023,Q,0,I," $230,000 ",,1021,Condo  ," 1,257 "," 1,257 "," 1,257 ",2008,CA,Condo-Apt,1,1,Flat,Concr/Cinder,Forced Air-Duc,Gas,Heat Pump,,1,1,0,Average +10
104024,BROADWAY,950,75,  32U09,0,2018, $-   ," $350,000 "," $350,000 ",9/30/2009, 45560/ 305,Q,0,I," $238,000 ",,1021,Condo  ," 1,225 "," 1,225 "," 1,225 ",2008,CA,Condo-Apt,1,1,Flat,Concr/Cinder,Forced Air-Duc,Gas,Heat Pump,,1,1,0,Average +10
104025,BROADWAY,950,75,  32U08,0,2018, $-   ," $405,900 "," $405,900 ",10/22/2009, 45630/ 239,Q,0,I," $286,000 ",Y,1021,Condo  ," 1,555 "," 1,555 "," 1,555 ",2008,CA,Condo-Apt,1,1,Flat,Concr/Cinder,Forced Air-Duc,Gas,Heat Pump,,1,1,0,Average +10
104026,BROADWAY,950,75,  32U07,0,2018, $-   ," $354,500 "," $354,500 ",12/4/2012, 50600/ 070,Q,0,I," $243,750 ",,1021,Condo  ," 1,249 "," 1,249 "," 1,249 ",2008,CA,Condo-Apt,1,1,Flat,Concr/Cinder,Forced Air-Duc,Gas,Heat Pump,,1,1,0,Average +10
104027,BROADWAY,950,75,  32U06,0,2018, $-   ," $360,800 "," $360,800 ",6/24/2013,   615/  048,Q,0,I," $267,000 ",Y,1021,Condo  ," 1,284 "," 1,284 "," 1,284 ",2008,CA,Condo-Apt,1,1,Flat,Concr/Cinder,Forced Air-Duc,Gas,Heat Pump,,1,1,0,Average +10
104028,BROADWAY,950,75,  32U05,0,2018, $-   ," $362,000 "," $362,000 ",4/6/2010, 46260/ 078,Q,0,I," $245,850 ",,1021,Condo  ," 1,291 "," 1,291 "," 1,291 ",2008,CA,Condo-Apt,1,1,Flat,Concr/Cinder,Forced Air-Duc,Gas,Heat Pump,,1,1,0,Average +10
104029,BROADWAY,950,75,  32U03,0,2018, $-   ," $337,300 "," $337,300 ",1/22/2016, 55630/ 341,Q,0,I," $345,000 ",Y,1021,Condo  ," 1,147 "," 1,147 "," 1,147 ",2008,CA,Condo-Apt,1,1,Flat,Concr/Cinder,Forced Air-Duc,Gas,Heat Pump,,1,1,0,Average +10
104030,BROADWAY,950,75,  32U02,0,2018, $-   ," $306,200 "," $306,200 ",3/15/2016, 55833/ 329,U,1F,I," $310,000 ",,1021,Condo  , 966 , 966 , 966 ,2008,CA,Condo-Apt,1,1,Flat,Concr/Cinder,Forced Air-Duc,Gas,Heat Pump,,1,1,0,Average +10
104031,BROADWAY,950,75,  32U01,0,2018, $-   ," $307,800 "," $307,800 ",7/15/2009, 45234/ 212,Q,0,I," $207,000 ",,1021,Condo  , 974 , 974 , 974 ,2008,CA,Condo-Apt,1,1,Flat,Concr/Cinder,Forced Air-Duc,Gas,Heat Pump,,1,1,0,Average +10
104032,BROADWAY,950,75,  32U36,0,2018, $-   ," $440,200 "," $440,200 ",9/12/2016, 56751/ 297,Q,0,I," $500,000 ",Y,1021,Condo  ," 1,631 "," 1,631 "," 1,631 ",2008,CA,Condo-Apt,1,1,Flat,Concr/Cinder,Forced Air-Duc,Gas,Heat Pump,,1,1,0,Average +10
104033,BROADWAY,950,75,  32U35,0,2018, $-   ," $397,700 "," $397,700 ",9/10/2015, 55040/ 258,Q,0,I," $360,000 ",Y,1021,Condo  ," 1,390 "," 1,390 "," 1,390 ",2008,CA,Condo-Apt,1,1,Flat,Concr/Cinder,Forced Air-Duc,Gas,Heat Pump,,1,1,0,Average +10
104034,BROADWAY,950,75,  32U34,0,2018, $-   ," $326,200 "," $326,200 ",4/30/2010,   615/ 030,Q,0,I," $221,000 ",,1021,Condo  , 989 , 989 , 989 ,2008,CA,Condo-Apt,1,1,Flat,Concr/Cinder,Forced Air-Duc,Gas,Heat Pump,,1,1,0,Average +10
104035,BROADWAY,950,75,  32U33,0,2018, $-   ," $393,600 "," $393,600 ",6/13/2016,   615/  59,Q,0,I," $397,522 ",Y,1021,Condo  ," 1,366 "," 1,366 "," 1,366 ",2008,CA,Condo-Apt,1,1,Flat,Concr/Cinder,Forced Air-Duc,Gas,Heat Pump,,1,1,0,Average +10
104036,BROADWAY,950,75,  32U32,0,2018, $-   ," $322,200 "," $322,200 ",6/15/2011, 48026/ 127,U,1A,I," $223,500 ",Y,1021,Condo  , 969 , 969 , 969 ,2008,CA,Condo-Apt,1,1,Flat,Concr/Cinder,Forced Air-Duc,Gas,Heat Pump,,1,1,0,Average +10
104037,BROADWAY,950,75,  32U31,0,2018, $-   ," $367,500 "," $367,500 ",11/20/2015, 55357/  56,Q,0,I," $345,000 ",Y,1021,Condo  ," 1,225 "," 1,225 "," 1,225 ",2008,CA,Condo-Apt,1,1,Flat,Concr/Cinder,Forced Air-Duc,Gas,Heat Pump,,1,1,0,Average +10
104038,BROADWAY,950,75,  32U30,0,2018, $-   ," $380,900 "," $380,900 ",12/20/2012, 50695/ 130,Q,0,I," $259,000 ",Y,1021,Condo  ," 1,295 "," 1,295 "," 1,295 ",2008,CA,Condo-Apt,1,1,Flat,Concr/Cinder,Forced Air-Duc,Gas,Heat Pump,,1,1,0,Average +10
104039,BROADWAY,950,75,  32U29,0,2018, $-   ," $431,600 "," $431,600 ",6/22/2009, 45119/ 112,Q,0,I," $315,000 ",Y,1021,Condo  ," 1,584 "," 1,584 "," 1,584 ",2008,CA,Condo-Apt,1,1,Flat,Concr/Cinder,Forced Air-Duc,Gas,Heat Pump,,1,1,0,Average +10
104040,BROADWAY,950,75,  32U28,0,2018, $-   ," $373,700 "," $373,700 ",4/29/2013,   615/ 046,Q,0,I," $259,000 ",Y,1021,Condo  ," 1,257 "," 1,257 "," 1,257 ",2008,CA,Condo-Apt,1,1,Flat,Concr/Cinder,Forced Air-Duc,Gas,Heat Pump,,1,1,0,Average +10
104041,BROADWAY,950,75,  32U27,0,2018, $-   ," $367,500 "," $367,500 ",7/13/2017, 58216/ 145,Q,0,I," $450,000 ",Y,1021,Condo  ," 1,225 "," 1,225 "," 1,225 ",2008,CA,Condo-Apt,1,1,Flat,Concr/Cinder,Forced Air-Duc,Gas,Heat Pump,,1,1,0,Average +10
104042,BROADWAY,950,75,  32U26,0,2018, $-   ," $426,200 "," $426,200 ",11/18/2009,   615/ 016,Q,0,I," $294,000 ",Y,1021,Condo  ," 1,555 "," 1,555 "," 1,555 ",2008,CA,Condo-Apt,1,1,Flat,Concr/Cinder,Forced Air-Duc,Gas,Heat Pump,,1,1,0,Average +10
104043,BROADWAY,950,75,  32U25,0,2018, $-   ," $372,200 "," $372,200 ",6/1/2015, 54534/ 119,Q,0,I," $339,000 ",,1021,Condo  ," 1,249 "," 1,249 "," 1,249 ",2008,CA,Condo-Apt,1,1,Flat,Concr/Cinder,Forced Air-Duc,Gas,Heat Pump,,1,1,0,Average +10
104044,BROADWAY,950,75,  32U24,0,2018, $-   ," $384,700 "," $384,700 ",7/30/2009, 45304/ 140,Q,0,I," $265,000 ",,1021,Condo  ," 1,316 "," 1,316 "," 1,316 ",2008,CA,Condo-Apt,1,1,Flat,Concr/Cinder,Forced Air-Duc,Gas,Heat Pump,,1,1,0,Average +10
104045,BROADWAY,950,75,  32U23,0,2018, $-   ," $380,100 "," $380,100 ",4/21/2010, 46308/ 259,Q,0,I," $258,000 ",Y,1021,Condo  ," 1,291 "," 1,291 "," 1,291 ",2008,CA,Condo-Apt,1,1,Flat,Concr/Cinder,Forced Air-Duc,Gas,Heat Pump,,1,1,0,Average +10
104046,BROADWAY,950,75,  32U22,0,2018, $-   ," $354,500 "," $354,500 ",9/6/2017, 58489/  26,Q,0,I," $435,000 ",,1021,Condo  ," 1,149 "," 1,149 "," 1,149 ",2008,CA,Condo-Apt,1,1,Flat,Concr/Cinder,Forced Air-Duc,Gas,Heat Pump,,1,1,0,Average +10
104047,BROADWAY,950,75,  32U21,0,2018, $-   ," $354,200 "," $354,200 ",4/27/2010, 46329/ 288,Q,0,I," $275,600 ",Y,1021,Condo  ," 1,147 "," 1,147 "," 1,147 ",2008,CA,Condo-Apt,1,1,Flat,Concr/Cinder,Forced Air-Duc,Gas,Heat Pump,,1,1,0,Average +10
104048,BROADWAY,950,75,  32U20,0,2018, $-   ," $321,600 "," $321,600 ",12/5/2017, 58886/ 217,Q,0,I," $385,000 ",Y,1021,Condo  , 966 , 966 , 966 ,2008,CA,Condo-Apt,1,1,Flat,Concr/Cinder,Forced Air-Duc,Gas,Heat Pump,,1,1,0,Average +10
104049,BROADWAY,950,75,  32UC1,0,2018, $-   ," $381,800 "," $381,800 ",7/2/2012, 49773/ 100,U,1O,I," $190,000 ",,3221,RTL CONDO," 2,003 "," 2,003 "," 2,003 ",2008,90,Retail Condo,1,1,Flat,Concr/Cinder,Forced Air-Duc,Gas,Heat Pump,,0,1,0,Average
104050,BROADWAY,950,75,  32UC3,0,2018, $-   ," $386,100 "," $386,100 ",11/14/2012,   615/ 041,U,1B,I," $235,000 ",,3221,RTL CONDO," 2,052 "," 2,052 "," 2,052 ",2008,90,Retail Condo,1,1,Flat,Concr/Cinder,Forced Air-Duc,Gas,Heat Pump,,0,1,0,Average
104051,BROADWAY,950,75,  32UC2,0,2018, $-   ," $266,700 "," $266,700 ",7/2/2012, 49773/ 096,U,1B,I," $90,000 ",,3221,RTL CONDO," 1,088 "," 1,088 "," 1,088 ",2008,90,Retail Condo,1,1,Flat,Concr/Cinder,Forced Air-Duc,Gas,Heat Pump,,0,1,0,Average
4760,BROADWAY,951,67,78,0.07651515,2018," $145,900 "," $154,800 "," $300,700 ",, 40197/ 259,U,1A,I, $1 ,Y,1040,TWO FAMILY  ," 2,255 "," 4,002 "," 1,954 ",1930,2F,2 Family,2,2,Gable/Hip,Vinyl Siding,Hot Water,Oil,None,,4,2,0,Average
4759,BROADWAY,953,67,77,0.07651515,2018," $145,900 "," $126,900 "," $272,800 ",2/27/2006, 39094/ 123,U,1A,I, $1 ,Y,1040,TWO FAMILY  ," 1,623 "," 2,914 "," 1,374 ",1920,2F,2 Family,2,2,Gable/Hip,Aluminum Sidng,Hot Water,Oil,None,,4,2,0,Average
